# Planes
# center_x center_y center_z normal_x normal_y normal_z
41.077561 14.104534 1.185202 0.050420 -0.995066 -0.085450
38.754724 13.900701 0.867619 0.041273 -0.998275 0.041764
36.945149 13.770567 0.868097 -0.066934 0.996119 -0.057163
35.101234 13.760299 0.783290 -0.031181 -0.998071 -0.053680
32.886159 13.542451 0.797474 -0.189233 0.981928 -0.002846
30.901705 13.410794 0.736127 0.042590 0.998178 -0.042739
28.722647 13.199119 0.702797 0.147736 -0.988532 0.031294
27.097209 13.120657 0.638189 0.031244 0.999442 -0.011802
17.710890 9.425878 0.453267 0.840348 0.480673 0.250537
23.611101 13.461034 0.628235 0.980061 0.193196 -0.046427
17.068208 11.793536 0.732392 0.163887 0.683176 0.711626
23.400067 16.346654 0.887076 0.994708 0.063167 0.081025
11.409109 8.953625 0.392212 0.883764 0.446184 0.141002
15.516360 14.274735 0.494292 -0.720620 0.692671 0.030237
12.474744 12.128651 0.438478 -0.120626 -0.992342 0.026584
10.996799 12.112828 0.421442 -0.051463 0.997819 -0.041332
9.512309 12.047106 0.416130 0.023549 -0.999721 -0.001756
8.683414 11.942388 0.386790 -0.032982 0.997731 -0.058698
3.969131 5.546942 0.243825 0.855839 -0.515644 0.040640
7.050902 11.810965 0.337401 -0.054136 0.998238 -0.024296
6.217663 12.249482 0.346571 0.789334 0.612617 -0.040662
6.340982 14.550290 0.314890 0.675029 -0.737787 0.002327
5.832812 14.122741 0.342866 -0.632319 0.772970 -0.051869
4.306141 11.629393 0.325635 0.098216 -0.991776 0.082061
2.027850 12.037252 0.380242 -0.818960 -0.569450 -0.070927
0.239087 14.187670 0.620610 0.725098 0.678041 -0.120391
-0.632340 15.167857 0.634402 0.752142 0.658928 -0.009837
-1.725288 16.408716 0.488012 0.756062 0.653600 -0.034323
-2.361924 17.140162 0.387693 0.753499 0.657093 -0.021664
-8.381205 16.403328 0.636782 0.390617 -0.903422 -0.176769
-29.881740 24.409574 0.976696 0.997601 0.025166 -0.064486
-18.636901 11.057734 0.860465 0.159633 0.208819 0.964838
-25.861748 15.514167 0.406655 0.977035 -0.126061 -0.171788
-23.313152 12.315431 1.013287 -0.200279 0.245343 -0.948523
-11.891963 5.544218 0.436045 -0.569450 0.811934 -0.128411
-12.145990 5.451729 0.468961 -0.255999 0.962208 0.092845
-19.794810 6.489209 0.753826 -0.883365 0.400546 -0.243371
-24.410613 6.341933 0.914070 -0.131006 0.805957 -0.577297
-15.870914 1.803749 0.399285 -0.240651 0.970254 -0.026333
-50.896949 -22.997068 2.097570 0.030457 0.013672 0.999443
-59.012113 -31.237060 2.287159 0.325407 0.658531 0.678563
-7.139972 -10.471132 0.649434 0.021758 0.026551 0.999411
-9.407839 -14.301634 0.739877 -0.063692 0.198680 0.977993
-5.821294 -9.067961 0.284880 0.819417 0.573151 -0.007273
-6.630191 -17.580963 0.456976 0.755481 0.655043 0.012897
-6.177092 -18.521164 0.515582 0.879690 0.306694 0.363436
-4.283604 -20.313204 0.488269 0.762657 0.646652 0.014011
-3.424393 -21.309145 0.493678 0.759481 0.650398 0.013090
-2.419046 -22.481736 0.507816 0.754573 0.656199 0.004799
-0.226660 -9.644573 0.278923 -0.074465 0.997188 0.008484
1.431991 -10.040996 0.273556 0.029037 0.998013 -0.055922
4.985047 -9.324170 0.316630 -0.053650 0.975640 0.212716
6.918481 -9.125941 0.327276 -0.119379 0.992272 0.033840
9.083581 -9.048228 0.342768 -0.276541 0.960932 0.011641
11.019347 -8.911114 0.339953 -0.022233 0.996724 0.077757
4.392661 -3.402947 0.221655 0.566395 0.823901 -0.019605
23.255853 -6.953861 0.521177 0.997680 0.067991 -0.003325
12.975921 -4.088806 0.339619 0.104898 0.994363 0.015428
33.460560 -4.551943 0.762044 0.067426 -0.994193 -0.083875
34.826437 -4.387379 0.643141 -0.079268 0.995702 -0.047901
36.824102 -4.288529 0.798510 0.127892 -0.986360 -0.103623
